Codigo, Nombre, precio mayor, precio mayor2, precio menor, precio menor 2, cantidad mayor
PMB08,PIEDRA MALAKITA BOLA #08,5.00,5.00,6.25,5.00,6
PIEA,PIEDRA MATISTA,5.50,5.50,6.88,5.50,6
PAB4,PIEDRA MATISTA BOLA # 04,4.00,4.00,5.00,4.00,6
PAB6,PIEDRA MATISTA BOLA # 06,5.20,5.20,6.50,5.20,6
PAB8,PIEDRA MATISTA BOLA # 08,6.50,6.50,8.13,6.50,6
PAB10,PIEDRA MATISTA BOLA # 10,7.50,7.50,9.38,7.50,6
PAB12,PIEDRA MATISTA BOLA # 12,8.50,8.50,10.63,8.50,6
PIACO,PIEDRA MATISTA CORAZON,10.00,10.00,12.50,10.00,6
PNC11X14,PIEDRA NAT CILINDRO 11X14 NUEVA,5.50,5.50,6.88,5.50,6
PNO12X4T,PIEDRA NAT OVALO 12X40T,8.50,8.50,10.63,8.50,6
PN6B10TI,PIEDRA NAT.6BORDES 10X30TIRA,13.00,13.00,15.60,13.00,6
PNB2HGT,PIEDRA NAT.BENTURINA 2H.GRAND T,6.75,6.75,8.10,6.75,6
PNRGTIR,PIEDRA NAT.RECTANGULO GRANDE TI,7.50,7.50,9.00,7.50,6
PIN08,PIEDRA NATURAL # 08,5.00,5.00,6.25,5.00,6
PIEN10,PIEDRA NATURAL # 10,6.50,6.50,8.13,6.50,6
PIEN12,PIEDRA NATURAL # 12,7.00,7.00,8.75,7.00,6
PIEN14,PIEDRA NATURAL # 14,7.50,7.50,9.38,7.50,6
PN6B10,PIEDRA NATURAL 6 BORDES 10 X 30,1.15,1.15,1.15,1.15,6
PNB2HG,PIEDRA NATURAL BENTURINA 2 HUECOS GD.,0.37,0.37,0.37,0.37,6
PNB2HP,PIEDRA NATURAL BENTURINA 2 HUECOS PQ.,6.50,6.50,8.13,6.50,6
PNBB08,PIEDRA NATURAL BENTURINA BOLA #8,3.50,3.50,4.38,3.50,6
PNBB12,PIEDRA NATURAL BENTURINA BOLA# 12,4.80,4.80,6.00,4.80,6
PNBB10,PIEDRA NATURAL BENTURINA BOLA#10,4.00,4.00,5.00,4.00,6
PINBTA,PIEDRA NATURAL BENTURINA TAMBOR 11x14,3.90,3.90,4.88,3.90,6
PINB06,PIEDRA NATURAL BOLA # 06,4.50,4.50,5.63,4.50,6
